epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.708,3.10163,3.50693,2.08642,0.0024,0.27465,0.00221,0.00063,3.37676,3.90388,2.32808,0.000650407,0.000650407,0.000650407
2,285.231,3.08779,3.1913,2.05737,0.00441,0.15493,0.00889,0.00414,3.38755,3.67181,2.61977,0.00126492,0.00126492,0.00126492
3,426.687,3.20379,3.18849,2.08235,0.17264,0.05282,0.03345,0.0102,3.45393,3.54002,2.55513,0.00182663,0.00182663,0.00182663
4,568.377,3.14885,3.14605,2.09957,0.20061,0.05634,0.02599,0.00832,3.38608,3.66451,2.39471,0.0017624,0.0017624,0.0017624
5,709.846,3.01523,3.02125,2.01507,0.08132,0.06866,0.02232,0.00643,3.34116,3.59077,2.34598,0.0016832,0.0016832,0.0016832
6,856.587,2.9764,2.96964,1.98311,0.20207,0.0581,0.03289,0.01028,3.27392,4.07008,2.48886,0.001604,0.001604,0.001604
7,1008.92,2.90989,2.9057,1.95968,0.1898,0.07394,0.042,0.01158,3.275,3.63496,2.19358,0.0015248,0.0015248,0.0015248
8,1159.57,2.88073,2.89135,1.95848,0.1973,0.07394,0.03958,0.01069,3.12552,3.22717,2.11979,0.0014456,0.0014456,0.0014456
9,1324.68,2.90697,2.93756,1.92931,0.29232,0.09683,0.06625,0.02,3.20661,3.14655,2.21302,0.0013664,0.0013664,0.0013664
10,1507.17,2.88389,2.84609,1.90919,0.28619,0.0757,0.05657,0.01708,3.24268,3.20186,2.27528,0.0012872,0.0012872,0.0012872
11,1668.45,2.81212,2.77768,1.88048,0.12113,0.03521,0.02574,0.00946,3.25379,3.28794,2.21926,0.001208,0.001208,0.001208
12,1823.3,2.85272,2.78885,1.89701,0.21387,0.06945,0.03975,0.01383,3.19192,3.23423,2.16882,0.0011288,0.0011288,0.0011288
13,1965.56,2.73438,2.73353,1.86704,0.33505,0.05855,0.04621,0.01589,3.06566,3.1495,2.14877,0.0010496,0.0010496,0.0010496
14,2114.81,2.78778,2.68561,1.86402,0.338,0.07394,0.06289,0.0172,3.24127,3.18933,2.18124,0.0009704,0.0009704,0.0009704
15,2269.97,2.69086,2.60183,1.81449,0.18201,0.09507,0.04883,0.01319,3.15024,3.30683,2.13561,0.0008912,0.0008912,0.0008912
16,2428.11,2.83898,2.90704,1.94265,0.49602,0.02817,0.05049,0.01779,2.93606,3.25072,2.08025,0.000812,0.000812,0.000812
17,2585.6,2.78256,2.79413,1.91172,0.22847,0.08451,0.05029,0.01617,3.0668,3.19812,2.14399,0.0007328,0.0007328,0.0007328
18,2755.36,2.82085,2.76744,1.94455,0.24818,0.10387,0.07125,0.02399,3.04993,3.01577,2.01277,0.0006536,0.0006536,0.0006536
19,2911.83,2.7642,2.64037,1.87117,0.24526,0.08275,0.05841,0.01889,3.08644,3.08956,2.07681,0.0005744,0.0005744,0.0005744
20,3043.81,2.77885,2.72629,1.8911,0.24653,0.07042,0.05553,0.01908,3.04744,3.10387,2.06293,0.0004952,0.0004952,0.0004952
21,3173.77,2.72425,2.62984,1.868,0.26373,0.09155,0.06279,0.02093,3.08442,3.03062,2.03032,0.000416,0.000416,0.000416
22,3302.92,2.69908,2.61125,1.83293,0.31186,0.10739,0.07905,0.02604,2.95323,2.92383,2.00297,0.0003368,0.0003368,0.0003368
23,3440.66,2.6736,2.5914,1.86433,0.28994,0.09331,0.06976,0.02298,3.01831,2.99448,1.99091,0.0002576,0.0002576,0.0002576
24,3584.25,2.7332,2.61259,1.86317,0.28056,0.08627,0.06283,0.0217,3.01561,3.02732,1.99373,0.0001784,0.0001784,0.0001784
25,3783.37,2.64477,2.51336,1.82828,0.28167,0.08629,0.06801,0.02384,2.9986,3.01385,1.98038,9.92e-05,9.92e-05,9.92e-05
