epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1016.04,2.79579,3.53459,2.20315,0.10864,0.03697,0.01261,0.00327,3.06642,4.33938,2.50977,0.000661157,0.000661157,0.000661157
2,1968.12,2.8162,3.2592,2.26525,0.11485,0.11268,0.02943,0.0087,3.09274,5.27839,2.65129,0.00130153,0.00130153,0.00130153
3,2890.11,2.80904,3.18969,2.25211,0.10966,0.07923,0.02551,0.00684,3.25763,4.10221,2.66396,0.00191551,0.00191551,0.00191551
4,3851.75,2.76772,3.15244,2.22989,0.10011,0.08979,0.03164,0.00883,3.08063,3.80218,2.57374,0.0018812,0.0018812,0.0018812
5,4773.28,2.74146,3.11111,2.22139,0.24018,0.05788,0.04009,0.0102,2.95628,3.49644,2.53555,0.0018416,0.0018416,0.0018416
6,5671.92,2.69955,3.04178,2.20621,0.11573,0.08803,0.02599,0.00663,3.01938,3.94467,2.53474,0.001802,0.001802,0.001802
7,6516.8,2.65597,2.98788,2.15951,0.12766,0.09859,0.03834,0.00986,2.95407,3.64103,2.51893,0.0017624,0.0017624,0.0017624
8,7350.71,2.66787,2.99712,2.15233,0.18873,0.10387,0.05993,0.01796,2.85369,3.4527,2.43076,0.0017228,0.0017228,0.0017228
9,8247.59,2.61789,2.91734,2.13531,0.18049,0.07923,0.04977,0.01443,2.94385,3.30549,2.46355,0.0016832,0.0016832,0.0016832
10,9130.67,2.61394,2.89457,2.12365,0.20533,0.14261,0.06596,0.01877,2.80842,3.22593,2.3668,0.0016436,0.0016436,0.0016436
11,9891.67,2.55765,2.87182,2.12559,0.16166,0.125,0.06425,0.01942,2.8134,3.08516,2.40587,0.001604,0.001604,0.001604
12,10655.3,2.58443,2.85709,2.12547,0.20426,0.15141,0.08227,0.02264,2.7116,3.011,2.324,0.0015644,0.0015644,0.0015644
13,11423.4,2.58016,2.87829,2.12515,0.17624,0.11268,0.05996,0.01729,2.7791,3.10265,2.33143,0.0015248,0.0015248,0.0015248
14,12187.1,2.51023,2.82479,2.07681,0.16411,0.12852,0.05544,0.01591,2.82364,3.35415,2.40588,0.0014852,0.0014852,0.0014852
15,12948.2,2.53895,2.80738,2.08241,0.16617,0.08099,0.04199,0.01321,2.845,3.35963,2.35971,0.0014456,0.0014456,0.0014456
